epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2921.31,0.86196,0.85616,0.96152,0.53082,0.60196,0.60079,0.31954,2.02834,2.07408,2.02554,0.000253812,0.000253812,0.000253812
163,2939.2,0.83339,0.79369,0.9227,0.53082,0.60196,0.60079,0.31954,2.02834,2.07408,2.02554,0.000247625,0.000247625,0.000247625
164,2957.17,0.86185,0.84402,0.94208,0.843,0.54167,0.59543,0.32064,2.04166,2.06737,2.01587,0.000241438,0.000241438,0.000241438
165,2975.04,0.86515,0.84605,0.94999,0.843,0.54167,0.59543,0.32064,2.04166,2.06737,2.01587,0.00023525,0.00023525,0.00023525
166,2993.28,0.84453,0.85703,0.92538,0.843,0.54167,0.59543,0.32064,2.04166,2.06737,2.01587,0.000229063,0.000229063,0.000229063
167,3011.22,0.87713,0.79398,0.93009,0.843,0.54167,0.59543,0.32064,2.04166,2.06737,2.01587,0.000222875,0.000222875,0.000222875
168,3029.3,0.92764,0.86034,0.97193,0.84232,0.54167,0.59632,0.31252,2.03144,2.05141,1.99711,0.000216688,0.000216688,0.000216688
169,3047.24,0.83236,0.77745,0.95385,0.84232,0.54167,0.59632,0.31252,2.03144,2.05141,1.99711,0.0002105,0.0002105,0.0002105
170,3065.22,0.86997,0.84149,0.98075,0.84232,0.54167,0.59632,0.31252,2.03144,2.05141,1.99711,0.000204313,0.000204313,0.000204313
171,3083.15,0.85733,0.81861,0.93493,0.84232,0.54167,0.59632,0.31252,2.03144,2.05141,1.99711,0.000198125,0.000198125,0.000198125
172,3101.16,0.83746,0.80916,0.91858,0.82856,0.53548,0.58775,0.31653,1.98833,2.05862,1.96703,0.000191938,0.000191938,0.000191938
173,3119.05,0.86065,0.83047,0.9569,0.82856,0.53548,0.58775,0.31653,1.98833,2.05862,1.96703,0.00018575,0.00018575,0.00018575
174,3136.9,0.86391,0.85655,1.00815,0.82856,0.53548,0.58775,0.31653,1.98833,2.05862,1.96703,0.000179563,0.000179563,0.000179563
175,3154.85,0.80358,0.80125,0.93366,0.82856,0.53548,0.58775,0.31653,1.98833,2.05862,1.96703,0.000173375,0.000173375,0.000173375
